pdf_page,figure_no,species_common,height_b1,height_b2,height_b3,height_b4,height_b5,si_b1,si_b2,si_b3,si_b4,si_b5,parse_status,source,years_to_bh
22,1,Red maple,2.9435,0.9132,-0.0141,1.658,-0.1095,0.3263,1.0634,-0.0106,-1.2573,-0.0646,ok,"Figure 1. - Red maple (Carmean 1978). Northern Wisonsin and Upper Michingan. 174 plots having 438 dominant and codominant trees. Stem analysis, logarithm equation, polymorphic. Add 4 years to DBH age to obtain total age (BH = 0.0)",4
23,2,Sugar maple,3.3721,0.8407,-0.015,2.6208,-0.2661,0.1771,1.2075,-0.0066,-1.7003,-0.2189,ok,"Figure 2. - Sugar maple (Curtis and Post 1962, solomon 1968). Vermont Green Mountains. 67 plots having 136 dominant and codominant trees. Stem analysis, logarithm equation, anamorphic, original curves redrafter from DBH age to total age and from SI age 75 to SI age of 50. Add 4 years to DBH age to obtain total age (BH = 0.0)",4
24,3,Sugar maple,6.1308,0.6904,-0.0195,10.1563,-0.533,0.1984,1.2089,-0.011,-2.4917,-0.2542,ok,"Figure 3. - Sugar maple (Carmean 1978). Northern Wisonsin and Upper Michingan.177 plots having 721 dominant and codominant trees. Stem analysis, logarithm equation, polymorphic. Add 4 years to DBH age to obtain total age (BH = 0.0)",4
25,4,Silver maple,1.0645,0.9918,-0.0812,1.5754,-0.0272,0.8972,1.0183,-0.0769,-4.8154,-0.3162,ok,"Figure 4. - Silver maple (Brendemuehl, McComb, and Thomson 1 961 b) Southeastern Iowa 50 plots, number of dominant and codominant trees not given Total height and age, anamorphic, equation not given Add 3 years to DBH age to obtain total age (BH = 0.0)",3
26,5,Yellow birch,2.2835,0.9794,-0.0054,0.5819,-0.0281,0.5889,0.9922,-0.0096,-0.5473,0.0146,ok,"Figure 5. - Yellow birch (Curtis and Post 1962, Solomon 1968) Vermont Green Mountains 38 plots having 68 dominant and codominant trees Stem analysis, logarithm equation, anamorphic, original curves redrafted from DBH age to total age and from SI age of 75 to Sl age of 50 Add 4 years to DBH age to obtain total age (BH = 0.0)",4
27,6,Yellow birch,6.0522,0.6768,-0.0217,15.4232,-0.6354,0.1817,1.243,-0.011,-3.0184,-0.318,ok,"Figure 6. - Yellow birch (Carmean 1978) Northern Wisconsin and Upper Michigan 119 plots having 459 dominant and codominant trees Stem analysis, nonlinear regression, polymorphic Add 4 years to DBH age to obtain total age (BH 0.0)",4
28,7,Paper birch,1.598,1,-0.0198,0.9824,0,0.6258,1,-0.0198,-0.9824,0,ok,"Figure 7. - Paper birch (Cooley 1958, 1962) Northern Wisconsin (104 plots); Upper Michigan (4 plots) 108 plots, number of dominant and codominant trees not given Total height and age, anamorphic, equation not given Add 4 years to DBH age to obtain total age (BH 0.0)",4
29,8,Paper birch,1.7902,0.9522,-0.0173,1.1668,-0.1206,0.5542,1.054,-0.0184,-1.3053,-0.1435,ok,"Figure 8. - Paper birch (Curtis and Post 1962, Solomon 1968) Vermont Green Mountains 32 plots having 56 dominant and codominant trees Stem analysis, logarithm equation, anamorphic, original curves redrafted from DBH age to total age and from SI age 75 to SI age of 50 Add 4 years to DBH age to obtain total age (BH 0.0)",4
30,9,Paper birch,2.4321,0.9207,-0.0168,1.5247,-0.1042,0.5119,1.0229,-0.0167,-1.0284,-0.0049,ok,"Figure 9. - Paper birch (Carmean 1978) Northern Wisconsin and Upper Michigan 30 plots having 93 dominant and codominant trees Stem analysis, nonlinear regression, polymorphic Add 4 years to DBH age to obtain total age (BH 0.0)",4
31,10,Hickories,1.8326,1.0015,-0.0207,1.408,-0.0005,0.5243,1.0126,-0.0216,-1.5897,-0.0239,ok,"Figure 10. - Hickories (Boisen and Newlin 1910. Hampf 1965) Central States, Cumberland Mountains of Kentucky 30 plots, number of dominant trees not given Total height and age, anamorphic, equation not given Convert DBH age to total age by adding years according to site index (BH 0.0)",
32,11,American beech,29.73,0.3631,-0.0127,16.7616,-0.6804,0.2376,1.1312,-0.0109,-1.855,-0.143,ok,"Figure 11. - American beech (Carmean 1978) Northern Wisconsin and Upper Michigan 19 plots having 70 dominant and codominant trees Stem analysis, nonlinear regression, polymorphic Add 4 years to DBH age to obtain total age (BH - 0.0)",4
33,12,White ash,1.5768,0.9978,-0.0156,0.6705,0.0182,0.6835,0.9882,-0.0167,-0.6218,0.0462,ok,"Figure 12. - White ash (Curtis and Post 1962, Solomon 1968) Vermont Green Mountains 44 plots having 83 dominant and codominant trees Stem analysis, logarithm equation, anamorphic, original curves redrafted from DBH age to total age and from Sl age 75 to SI age of 50 Add 4 years to DBH age to obtain total age (BH = 0.0)",4
34,13,White ash,4.1492,0.7531,-0.0269,14.5384,-0.5811,0.1728,1.256,-0.011,-3.3605,-0.3452,ok,"Figure 13. - White ash (Carmean 1978) Northern Wisconsin and Upper Michigan 73 plots having 275 dominant and codominant trees Stem analysis, nonlinear regression, polymorphic Add 4 years to DBH age to obtain total age (BH - 0.0)",4
35,14,Black ash,4.2286,0.7857,-0.0178,4.6219,-0.3591,0.2388,1.1583,-0.0102,-1.8455,-0.1883,ok,"Figure 14. - Black ash (Carmean 1978) Northern Wisconsin and Upper Michigan 39 plots having 143 dominant and codominant trees Stem analysis, nonlinear regression, polymorphic Add 4 years to DBH age to obtain total age (BH - 0.0)",4
36,15,Green ash,1.6505,-0.0644,-0.8908,-0.0482,-0.7549,0.5672,125.7045,0.9096,-38.2659,1.099,ok,"Figure 15. - Green ash (Broadfoot 1969) Mississippi Valley alluvium - Louisiana, Mississippi, Arkansas, Tennessee Number of plots and number of dominant and codominant trees not given Stem analysis, graphically constructed anamorphic curves Add 2 years to DBH age to obtain total age (BH = 0.0)",2
37,16,Black walnut plantations,1.2898,0.9982,-0.0289,0.8546,0.0171,0.7875,0.9963,-0.0281,-0.7823,0.0353,ok,"Figure 16. - Black walnut plantations (Kellogg 1939b) Central States 188 plots, number of dominant trees not given Total height and total age, anamorphic, equation not given Determine total age from stumps or planting records (do not damage trees by using an increment borer) (BH = 0.0)",
38,17,Black walnut plantations—shallow flood plains,1.6622,0.886,-0.1113,66.8363,-1.0584,0.6204,1.0542,-0.0373,-1.9626,-0.3491,ok,"Figure 17. - Black walnut plantations - shallow flood plains (Losche and Schlesinger 1975) Southern Illinois 19 plots having 85 dominant and codominant trees Stem analysis, site index prediction equations based on linear regressions using Hegar (1968) model. Site index is height at 25 years total age (BH - 0.0)",
39,18,Black walnut plantations—deep flood plains,2.2349,0.842,-0.0808,15.0884,-0.6292,0.1758,1.2568,-0.0124,-1.9426,-0.3231,ok,"Figure 18. - Black walnut plantations - deep flood plains (Losche and Schlesinger 1975) Southern Illinois 26 plots having 108 dominant and codominant trees Stem analysis, site index prediction equations based on linear regressions using Hegar (1968) model. Site index is height at 25 years total age (BH = 0.0)",
40,19,Sweetgum,1.5932,1.0124,-0.0122,0.6245,0.013,0.6092,0.9895,-0.0113,-0.6219,0.0078,ok,"Figure 19. - Sweetgum (Trenk 1929) Maryland Number of plots and number of dominant trees not given Total height and total age, anamorphic, equation not given Convert DBH age to total age by adding years according to site index (BH = 0.0)",
41,20,Sweetgum,3.5384,0.7932,-0.0244,29.2355,-0.7291,0.0055,1.6414,-0.0026,-1.7678,-0.2712,ok,"Figure 20. - Sweetgum (Winters and Osbourne 1935) Mississippi Valley alluvium plus a few locations on alluvial soils of South Carolina, Alabama, and northern Florida 25 locations having 99 plots, number of dominant trees not given (BH = 4.5)",
42,21,Sweetgum,1.0902,1.0298,-0.0354,0.7011,0.1178,0.955,0.9639,-0.038,-0.6685,0.1478,ok,"Figure 21. - Sweetgum (Broadfoot and Krinard 1959) Mississippi Valley alluvium - Louisiana, Mississippi, Arkansas, Tennessee Number of plots and number of dominant and codominant trees not given Stem analysis, graphically constructed anamorphic curves Add 2 years to DBH age to obtain total age (BH = 0.0)",2
43,22,Sweetgum,6.0673,0.6774,-0.0391,9.6135,-0.5504,0.252,1.1879,-0.0276,-2.09,-0.2154,ok,"Figure 22. - Sweetgum (Lyle et al. 1975) Alabama 50 stands each having two dominant trees Stem analysis, nonlinear regression, polymorphic, site index is height at 25 years total age Add 2 years to DBH age to obtain total age (BH = 0.0)",2
44,23,Yellow-poplar—Piedmont,1.1798,1,-0.0339,0.8117,-0.0001,0.8323,1.0051,-0.0352,-0.9706,-0.0303,ok,"Figure 23. - Yellow-poplar - Piedmont (Beck 1 962) Piedmont of Carolinas and Virginia 117 plots having 4 to 6 dominant and codominant trees on each plot Total height and total age, anamorphic, logarithm equation Add 3 years to DBH age to obtain total age (BH 0.0)",3
45,24,Yellow-poplarMountains,1.2673,1,-0.0331,1.1149,0.0001,0.7609,1.0097,-0.0346,-1.4002,-0.0402,ok,"Figure 24. - YeIIow-poplarA40untains (Beck 1962) Southern Appalachians of western North Carolina and northern Georgia 267 plots having 4 to 6 dominant and codominant trees on each plot Total height and total age, anamorphic, logarithm equation Add 3 years to DBH age to obtain total age (BH = 0.0)",3
46,25,Yellow-poplar,1.2941,0.9892,-0.0315,-1.0471,-0.0368,0.7459,1.0184,-0.0313,-1.2121,-0.0717,ok,"Figure 25. - Yellow-poplar (Schtaegel. Kulow. and Baughman 1969) West Virginia Appalachians 123 plots, number of dominant and codominant trees not given Total height and total age, anamorphic, logarithm equation Add 3 years to DBH age to obtain total age (BH 0.0)",3
47,26,Water tupelo,1.2721,0.9995,-0.0256,0.7447,-0.0019,0.7505,1.0112,-0.0259,-0.9213,-0.0475,ok,"Figure 26. - Water tupelo (Applequist 1 959) Lower coastal plain of southeastern Georgia 17 plots having 6 to 8 dominant and codominant trees on each plot Total height and total age, anamorphic, logarithm equation Add 2 years to DBH age to obtain total age (BH - 0.0)",2
48,27,Swamp tupelo,0.8549,0.9995,-1.0375,-0.0259,,-0.0016,-0.0254,-0.0428,1.0117,,too_few:8,"Figure 27. - Swamp tupelo (Applequist 1959) Lower coastal plain of southeastern Georgia 81 plots having 6 to 8 dominant and codominant trees on each plot Total height and total age, anamorphic, logarithm equation H 1.3213 0.7224 Add 2 years to DBH age to obtain total age (BH = 0.0)",2
49,28,Cottonwood,,,,,,,,,,,too_few:0,"Figure 28. - Cottonwood (Neebe and Boyce 1959) Southern Illinois bottomlands and a few uplands 65 areas having 1 72 dominant and codominant trees Total height and total age, anamorphic, site index prediction using straight line ""curves,"" equation not given Site index is total height at 25 years total age Add 2 years to DBH age to obtain total age (BH = 0.0)",2
50,29,Cottonwood,1.9426,0.8886,-0.064,21.0753,-0.6786,0.4754,1.119,-0.0429,-5.6452,-0.4912,ok,"Figure 29. - Cottonwood (Broadfoot 1960) Mississippi Valley alluvium - Louisiana, Mississippi, Arkansas, Tennessee, Missouri, Kentucky Number of plots and number of dominant and codominant trees not given Stem analysis, graphically constructed anamorphic curves, site index is height at 30 years total age Add 2 years to DBH age to obtain total age (BH = 0.0)",2
51,30,Cottonwood,,,,,,,,,,,too_few:0,"Figure 30. - Cottonwood (Brendemuehl 1965) Iowa bottomlands 66 plots, number of dominant and codominant trees not given Total height and total age, anamorphic, equation not given Add 2 years to DBH age to obtain total age (BH 0.0)",2
52,31,Ouaking aspen,1.4475,1.0098,-0.02,0.8489,0.0146,0.6755,1,-0.0213,-0.9367,-0.0002,ok,"Figure 31. - Ouaking aspen (Gevorkiantz 1956a, from Kittredge and Gevorkiantz 1929) Number of plots and number of dominant and codominant trees not given Total height and total age, anamorphic, equation not given Add 4 years to DBH age to obtain total age (BH = 0.0)",4
