species_common,species_ab,nfi_species,natural_regions,region_group,base_age_bh,model_height_eq,model_si_eq,b0,b1,b2,b3,b4,b5,n,mse,r2,source_table,pdf_page
White spruce,Sw,PICE.GLA,All,provincial,50,3,4,0.010168,0.004801,4.997735,0.802776,-0.243297,0.325438,123336,4.327,0.935,Table 1,16
White spruce,Sw,PICE.GLA,"9, 11, 14",regional,50,3,4,0.009934,0.003402,5.251458,0.812856,-0.238341,0.323275,65756,4.382,0.938,Table 1,16
White spruce,Sw,PICE.GLA,"7, 8, 10",regional,50,3,4,0.008678,-0.016794,6.696763,0.821344,-0.219351,0.281849,16612,4.332,0.938,Table 1,16
White spruce,Sw,PICE.GLA,"1, 2, 3, 4, 5, 6, 12, 13, 15, 16",regional,50,3,4,0.009656,0.098678,3.707591,0.720408,-0.264794,0.372548,40968,3.79,0.935,Table 1,16
Lodgepole pine,Pl,PINU.CON,All,provincial,50,5,6,0.026714,-0.314562,1.033165,0.799658,-0.43927,0.401374,92040,3.611,0.927,Table 6,32
Lodgepole pine,Pl,PINU.CON,"4, 10",regional,50,5,6,0.029225,-0.388372,1.036619,0.782731,-0.465705,0.416191,34724,3.262,0.921,Table 6,32
Lodgepole pine,Pl,PINU.CON,"7, 8",regional,50,5,6,0.024669,-0.343898,1.027053,0.669981,-0.552565,0.46714,5772,2.126,0.913,Table 6,32
Lodgepole pine,Pl,PINU.CON,"6, 9, 11, 14",regional,50,5,6,0.026521,-0.285783,1.033059,0.812875,-0.435476,0.407971,48968,3.575,0.937,Table 6,32
Lodgepole pine,Pl,PINU.CON,"1, 2, 3, 5, 12, 13, 15, 16",regional,50,5,6,0.017891,-0.166174,1.032859,0.679699,-0.446473,0.417274,2576,2.42,0.934,Table 6,32
Aspen,Aw,POPU.TRE,All,provincial,50,7,8,0.03593,-0.486239,1.041916,0.818283,-0.594641,0.522558,47568,3.605,0.917,Table 12,51
Aspen,Aw,POPU.TRE,"2, 14, 15, 16",regional,50,7,8,0.04148,-0.629239,1.062898,0.866399,-0.660315,0.537256,4996,2.779,0.922,Table 12,51
Aspen,Aw,POPU.TRE,"1, 3, 4, 5, 6, 12, 13",regional,50,7,8,0.038405,-0.465919,1.042713,0.836287,-0.58507,0.52658,21638,3.332,0.921,Table 12,51
Aspen,Aw,POPU.TRE,"9, 11",regional,50,7,8,0.032049,-0.455481,1.038805,0.777423,-0.588933,0.528329,17616,3.885,0.917,Table 12,51
Aspen,Aw,POPU.TRE,"7, 8, 10",regional,50,7,8,0.028612,-0.464755,1.047753,0.78361,-0.558863,0.481366,3318,3.997,0.904,Table 12,51
Black spruce,Sb,PICE.MAR,All,provincial,50,9,10,0.011117,0.030221,1.010399,0.573793,-0.328092,0.387445,13136,2.392,0.915,Table 18,67
Black spruce,Sb,PICE.MAR,"7, 8, 9, 10, 11",regional,50,9,10,0.018903,-0.377978,1.043199,0.631662,-0.399756,0.405907,8026,2.186,0.924,Table 18,67
Black spruce,Sb,PICE.MAR,"1, 2, 3, 4, 5, 6, 12, 13, 14, 15, 16",regional,50,9,10,0.012953,-0.018702,1.00182,0.572388,-0.404984,0.416184,5110,2.622,0.903,Table 18,67
Jack pine,Pj,PINU.BAN,All,provincial,50,11,12,0.023405,-0.371557,1.048011,0.715449,-0.503105,0.444505,5566,2.137,0.941,Table 22,77
Balsam poplar,Pb,POPU.BAL,All,provincial,50,13,14,0.041208,-0.559626,1.038923,0.832609,-0.627227,0.526901,7704,3.012,0.916,Table 24,85
Balsam fir,Fb,ABIE.BAL,All,provincial,50,15,16,0.01019,0.013957,3.876735,0.647527,-0.274343,0.378078,3042,3.454,0.908,Table 26,93
Douglas-fir,Fd,PSEU.MEN,All,provincial,50,17,18,0.007932,0.011994,7.053999,0.617157,-0.365916,0.405321,3292,1.544,0.94,Table 28,101
