species_common,nfi_species,b1,b2,b3,b4,b5,source
Balsam fir,ABIE.BAL,-0.818,1.351,0.05336,2.7235,0.10966,"Scott and Voorhis (1986), Table 2/Appendix"
White spruce,PICE.GLA,-4.375,1.512,0.04908,2.0368,0.17323,"Scott and Voorhis (1986), Table 2/Appendix"
Black spruce,PICE.MAR,27.128,1.133,0.02174,11.9655,-0.56606,"Scott and Voorhis (1986), Table 2/Appendix"
Red spruce,PICE.RUB,-3.238,1.650,0.04669,2.4580,0.15661,"Scott and Voorhis (1986), Table 2/Appendix"
Jack pine,PINU.BAN,7.347,1.173,0.03948,12.2751,-0.48582,"Scott and Voorhis (1986), Table 2/Appendix"
Shortleaf pine,PINU.ECH,0.0,1.815,0.00905,0.5897,0.0,"Scott and Voorhis (1986), Table 2/Appendix"
Red pine,PINU.RES,0.0,1.662,0.02878,1.8776,0.0,"Scott and Voorhis (1986), Table 2/Appendix"
White pine,PINU.STR,33.339,1.164,0.03149,26.9905,-0.59792,"Scott and Voorhis (1986), Table 2/Appendix"
Loblolly pine,PINU.TAE,0.0,1.160,0.03895,0.9639,0.0,"Scott and Voorhis (1986), Table 2/Appendix"
Virginia pine,PINU.VIR,1.193,1.107,0.05390,3.2475,-0.13493,"Scott and Voorhis (1986), Table 2/Appendix"
Northern white-cedar,THUJ.OCC,0.0,1.972,0.01758,1.2660,0.0,"Scott and Voorhis (1986), Table 2/Appendix"
Sugar maple,ACER.SAC,-5.152,2.057,0.02134,1.1734,0.07876,"Scott and Voorhis (1986), Table 2/Appendix"
Yellow birch,BETU.ALL,-3.661,1.712,0.02022,0.7941,0.08184,"Scott and Voorhis (1986), Table 2/Appendix"
Paper birch,BETU.PAP,-1.785,1.366,0.02522,0.6202,0.08045,"Scott and Voorhis (1986), Table 2/Appendix"
White ash,FRAX.AME,-1.871,1.376,0.02824,0.7490,0.08249,"Scott and Voorhis (1986), Table 2/Appendix"
Sweetgum,LIQU.STY,36.822,1.068,0.02293,42.3786,-0.82616,"Scott and Voorhis (1986), Table 2/Appendix"
Yellow-poplar,LIRI.TUL,0.0,1.275,0.03387,1.1956,0.0,"Scott and Voorhis (1986), Table 2/Appendix"
Bigtooth aspen,POPU.GRA,17.608,1.118,0.03298,14.6962,-0.54414,"Scott and Voorhis (1986), Table 2/Appendix"
White oak,QUER.ALB,5.675,1.357,0.02760,3.6766,-0.25342,"Scott and Voorhis (1986), Table 2/Appendix"
