"species_code","species_common","nfi_species","page","model_form","h_scale","h_base","s_scale","s_base","s_center","b1_const","b1_ln50_coef","b1_lnA_coef","b1_lnS_coef","b1_s_div_coef","b1_rate","b1_power","b2_const","b2_ln50_coef","b2_lnA_coef","b2_lnS_coef","b2_s_div_coef","b2_rate","b2_power","b3_const","b3_ln50_coef","b3_lnA_coef","b3_lnS_coef","b3_s_div_coef","b4_const","b4_ln50_coef","b4_lnA_coef","b4_lnS_coef","b4_s_div_coef","ytb_const","ytb_s_div_coef","ytb_lnS_coef","ytb_s_linear_coef","ytb_s_linear_scale","adj_type","adj_age","adj_AH","adj_const","adj_H_coef","adj_AH_coef","si_const","si_H_coef","si_H_over_A_coef","source_short"
"Pli","Interior Lodgepole Pine","PINU.CON","7","form_logexp_bratio","1","1.3","1","1.3",,"7.815","-1.285","0","-1.007",,,,"7.815","0","-1.285","-1.007",,,,,,,,,,,,,,"5.6","42.64",,,,,,,,,,,,,"Goudie1984"
"Sw","Interior White Spruce","PICE.GLA","11","form_logexp_bratio","1","1.3","1","1.3",,"9.794","-1.466","0","-1.287",,,,"9.794","0","-1.466","-1.287",,,,,,,,,,,,,,"4.16","110.76",,,,,,,,,,,,,"Goudie1984"
"Fdi","Interior Douglas-fir","PSEU.MEN","15","form_logexp_bratio","1","1.3","1","1.3",,"5.78","-1.15","0","-0.238",,,,"5.78","0","-1.15","-0.238",,,,,,,,,,,,,,"4","99",,,,,,,,,,"0.39","0.31","33.38","ThrowerGoudie1991"
"Bl","Interior Balsam","ABIE.LAS","19","form_rational_a2","1","1.3","1","1.3",,"-2.3465",,,,"141.25",,,"-0.42007",,,,"42.175",,,"0.00934",,,,"0.1",,,,,,"42.25",,"-10.66",,,"age_lt_and_AH_lt","50","1695.3","-0.45773","0","0.00027",,,,"Kurucz1982"
"Hw","Interior Western Hemlock","TSUG.HET","23","form_rational_a2","0.3048","4.5","0.3048","4.5",,"-1.7307",,,,"348.5",,,"-0.0616",,,,"34.25",,,"0.00192428",,,,"0.1756",,,,,,"9.43",,,"-0.043","0.3048",,,,,,,,,,"Wiley1978"
"Cw","Interior Western Redcedar","THUJ.PLI","27","form_rational_a2","1","1.3","1","1.3",,"-3.11785",,,,"125.675",,,"-0.02465",,,,"35.275",,,"0.00174",,,,"0.2441675",,,,,,"13.25",,,"-0.1640419948","1","age_gt","50",,,"0.02379545","-0.000475909",,,,"Kurucz1978_update1985"
"Pw","Interior Western White Pine","PINU.MON","31","form_exp_exp_ratio","0.3048","4.5","0.3048","4.5",,,,,"1.119438",,,,,,,"1.119438",,,,"-9.975053",,"1.361523",,,"-9.975053","1.747353","-0.38583",,,"4.16","110.76",,,,,,,,,,,,,"CurtisDiazClendenen1990"
"Py","Interior Ponderosa Pine","PINU.PON","35","form_exp_exp_ratio","0.3048","4.5","0.3048","4.5",,,,"1.21297",,,,,,"1.21297",,,,,,"-6.54707",,,"0.288169",,,,,,,"5.6","42.64",,,,,,,,,,,,,"HannScrivani1986"
"Lw","Interior Western Larch","LARI.OCC","39","form_larch_additive","0.3048","4.5","0.3048",,"69","127.8",,,,,"0.01655","1.196","1.289",,,,,"0.03211","1.047",,,,,,,,,,,"3.36","87.18",,,,,,,,,,,,,"Milner1989"
"At","Interior Trembling Aspen","POPU.TRE","43","form_logexp_bratio","1","1.3","1","1.3",,"6.879","-1.32","0","-0.618",,,,"6.879","0","-1.32","-0.618",,,,,,,,,,,,,,"1.33","38.56",,,,,,,,,,,,,"AlbertaForestService1985"
"Ep","Interior Paper Birch","BETU.PAP","47","form_logexp_bratio","1","1.3","1","1.3",,"6.879","-1.32","0","-0.618",,,,"6.879","0","-1.32","-0.618",,,,,,,,,,,,,,"1.33","38.56",,,,,,,,,,,,,"AlbertaForestService1985"
