age,b0,b1
1,3.7440,0.4769
2,4.1230,0.4281
3,4.1170,0.4252
4,3.9220,0.4402
5,3.8820,0.4432
6,3.8890,0.4414
7,3.8430,0.4439
8,3.6970,0.4538
9,3.6090,0.4585
10,3.5220,0.4636
11,3.4320,0.4692
12,3.3320,0.4764
13,3.2290,0.4841
14,3.1500,0.4896
15,3.0480,0.4974
16,2.9270,0.5076
17,2.7840,0.5206
18,2.6450,0.5338
19,2.5190,0.5465
20,2.3980,0.5595
21,2.2780,0.5732
22,2.1680,0.5863
23,2.0500,0.6013
24,1.9340,0.6170
25,1.8250,0.6328
26,1.7280,0.6478
27,1.6340,0.6628
28,1.5550,0.6758
29,1.4930,0.6865
30,1.4240,0.6991
31,1.3610,0.7113
32,1.2920,0.7255
33,1.2210,0.7409
34,1.1600,0.7552
35,1.1060,0.7685
36,1.0570,0.7814
37,1.0060,0.7952
38,0.9524,0.8106
39,0.8992,0.8270
40,0.8560,0.8411
41,0.8145,0.8554
42,0.7697,0.8717
43,0.7251,0.8891
44,0.6819,0.9070
45,0.6399,0.9254
46,0.5999,0.9441
47,0.5644,0.9617
48,0.5385,0.9754
49,0.5168,0.9877
50,0.4945,1.0010
