Species,model,Subregion,b1,b2,b3
POPU.TRE,1,7 to 10,27.8444,0.0554,1.3352
POPU.TRE,1,11,26.9085,0.0717,1.2526
POPU.TRE,1,Others,25.9208,0.0780,1.2472
POPU.TRE,1,Province,26.6988,0.0707,1.1996
UNKN.HWD,1,Province,26.7947,0.0693,1.2518
POPU.BAL,1,7 to 11,27.0288,0.0577,1.2407
POPU.BAL,1,Others,31.0457,0.0405,0.9862
POPU.BAL,1,Province,28.3642,0.0510,1.1338
BETU.PAP,1,Province,22.4814,0.0673,1.1496
PINU.CON,2,7 to 9,21.2291,4.1138,-1.6672
PINU.CON,2,10,28.6413,3.7850,-1.4192
PINU.CON,2,11,36.3029,3.7620,-1.2816
PINU.CON,2,Others,38.9208,3.8340,-1.2172
PINU.CON,2,Province,35.7547,3.8234,-1.2824
PICE.GLA,2,7 to 9,32.3269,3.9573,-1.2246
PICE.GLA,2,10,34.9926,4.2859,-1.3676
PICE.GLA,2,11,34.6665,5.3149,-1.7700
PICE.GLA,2,Others,36.2971,4.6580,-1.5743
PICE.GLA,2,Province,35.7854,4.8482,-1.6040
PICE.MAR,2,7 to 10,24.1828,4.1123,-1.5121
PICE.MAR,2,11,31.0767,3.9215,-1.3339
PICE.MAR,2,Others,41.1666,4.0910,-1.2291
PICE.MAR,2,Province,32.3393,3.9894,-1.3141
ABIE.BAL,2,7 to 9,22.3112,4.8034,-1.8182
ABIE.BAL,2,10,34.2277,4.6921,-1.4838
ABIE.BAL,2,11,33.7327,4.7704,-1.5809
ABIE.BAL,2,Others,35.0921,4.8799,-1.5840
ABIE.BAL,2,Province,32.2788,4.6623,-1.5370
PSEU.MEN,2,Province,31.3354,3.5952,-1.1138
LARI.LAR,2,Province,25.1942,4.6404,-1.7314
PINU.BAN,2,Province,29.6471,3.7192,-1.3144
UNKN.SWD,2,Province,37.0245,4.4310,-1.4401
