Species,c0,c1,c2,c3,c4,c5,var_power,res_std,R2
FAGU.GRA,11.8567,0.0717,2.8805,0.6286,-0.2668,-0.0058,0.5668,0.5170,0.44
BETU.POP,13.0688,0.0254,1.1725,0.8638,-0.0815,-0.0010,0.6444,0.4689,0.47
BETU.PAP,13.0163,0.0504,1.1434,0.7727,-0.0070,-0.0034,0.5679,0.5739,0.70
POPU.TRE,16.6487,0.0528,1.1460,0.5241,-0.0038,-0.0014,0.5709,0.5567,0.61
ACER.RUB,15.0375,0.0349,1.8921,0.8042,-0.1562,-0.0029,0.5193,0.6373,0.48
QUER.RUB,12.3769,0.0645,2.3885,0.6235,-0.1868,-0.0031,0.5069,0.6328,0.46
ACER.SAC,9.0164,0.0488,2.2266,0.9057,-0.2037,-0.0021,0.4224,0.7642,0.51
BETU.ALL,11.8042,0.0533,2.1054,0.7612,-0.1635,-0.0043,0.3379,1.0097,0.51
ABIE.BAL,10.7493,0.0722,1.3652,0.7706,0.0076,-0.0046,0.7301,0.3115,0.79
PICE.MAR,17.6022,0.0457,1.2197,0.6272,0.0099,-0.0082,0.7901,0.2218,0.86
TSUG.CAN,14.3151,0.0489,1.7724,0.6029,-0.1141,-0.0020,0.3791,0.9803,0.45
PICE.RUB,12.7969,0.0495,2.0286,0.8269,-0.1281,-0.0057,0.3919,0.7746,0.61
THUJ.OCC,9.7757,0.0442,1.6765,0.7875,-0.1398,0.0019,0.5174,0.5614,0.40
PINU.STR,14.5706,0.0530,2.1061,0.6265,-0.1454,-0.0027,0.4543,0.7646,0.54
PICE.GLA,20.5678,0.0275,1.4422,0.7615,-0.0643,-0.0041,0.4590,0.6032,0.69
