Species,fit,u,d,b,w,g,sigma2_e,sigma2_u,AIC
ABIE.BAL,nls_fixed,6.2496,0.4024,0.0650,0.0604,1.5017,2.2006,NA,12675
ABIE.BAL,mixed_fixed,4.7942,0.4675,0.0607,0.0977,1.5166,1.2964,0.2920,11912
POPU.BAL,nls_fixed,3.5881,0.6222,0.0426,0.0979,0.8198,1.8640,NA,2119
POPU.BAL,mixed_fixed,3.1718,0.6508,0.0397,0.1482,0.8763,1.2783,0.0357,2043
PICE.MAR,nls_fixed,3.7096,0.6206,0.0451,0.1239,1.3222,2.3205,NA,42659
PICE.MAR,mixed_fixed,3.3952,0.6390,0.0424,0.1380,1.2948,1.4306,0.0966,39532
PINU.BAN,nls_fixed,1.1806,0.9563,0.0507,0.2097,1.0523,1.4294,NA,34899
PINU.BAN,mixed_fixed,1.1583,0.9721,0.0401,0.2289,0.9399,1.1421,0.0026,33986
PINU.RES,nls_fixed,0.9701,1.0165,0.0510,0.2686,2.1086,2.6488,NA,2551
PINU.RES,mixed_fixed,1.0323,0.9962,0.0494,0.2612,1.9307,2.3325,0.0015,2526
POPU.TRE,nls_fixed,2.0151,0.7915,0.0559,0.1798,1.1440,1.9686,NA,26242
POPU.TRE,mixed_fixed,2.3161,0.7456,0.0543,0.1738,1.0967,1.4710,0.0134,25328
BETU.PAP,nls_fixed,2.8705,0.6426,0.0497,0.1680,1.0539,2.2516,NA,16541
BETU.PAP,mixed_fixed,2.3273,0.6889,0.0452,0.2263,1.1041,1.2250,0.0539,15296
PICE.GLA,nls_fixed,9.4916,0.3717,0.0342,0.0310,1.1071,2.3877,NA,10592
PICE.GLA,mixed_fixed,7.4622,0.4368,0.0314,0.0664,1.1101,1.4943,0.5081,10026
