"region_ecologique","region_description","subregion_ecologique","type_ecologique"
"2a","Collines de la basse Gatineau","","FE22"
"2a","Collines de la basse Gatineau","","MJ11"
"2a","Collines de la basse Gatineau","","MJ12"
"2b","Plaine du Saint-Laurent","","FE22"
"2b","Plaine du Saint-Laurent","","MJ14"
"2b","Plaine du Saint-Laurent","","MJ24"
"2b","Plaine du Saint-Laurent","","MJ25"
"2b","Plaine du Saint-Laurent","","RS54"
"2c","Coteaux de l'Estrie","","FE22"
"2c","Coteaux de l'Estrie","","MJ12"
"2c","Coteaux de l'Estrie","","MJ22"
"3a","Collines de l'Outaouais et du Témiscamingue","","FE32"
"3a","Collines de l'Outaouais et du Témiscamingue","","MJ12"
"3a","Collines de l'Outaouais et du Témiscamingue","","MJ21"
"3a","Collines de l'Outaouais et du Témiscamingue","","MJ22"
"3a","Collines de l'Outaouais et du Témiscamingue","","RP12"
"3b","Collines du lac Nominingue","","FE22"
"3b","Collines du lac Nominingue","","FE32"
"3b","Collines du lac Nominingue","","MJ12"
"3b","Collines du lac Nominingue","","MJ21"
"3b","Collines du lac Nominingue","","MJ22"
"3b","Collines du lac Nominingue","","RP11"
"3b","Collines du lac Nominingue","","RS10"
"3b","Collines du lac Nominingue","","RS12"
"3c","Hautes collines du bas Saint-Maurice","","FE32"
"3c","Hautes collines du bas Saint-Maurice","","MJ12"
"3c","Hautes collines du bas Saint-Maurice","","MJ22"
"3c","Hautes collines du bas Saint-Maurice","","MJ25"
"3c","Hautes collines du bas Saint-Maurice","","RS52"
"3d","Coteaux des basses Appalaches","","MJ12"
"3d","Coteaux des basses Appalaches","","MJ15"
"3d","Coteaux des basses Appalaches","","MJ16"
"3d","Coteaux des basses Appalaches","","MJ22"
"3d","Coteaux des basses Appalaches","","MJ25"
"3d","Coteaux des basses Appalaches","","RS55"
"4a","Plaines et coteaux du lac Simard","","MJ22"
"4a","Plaines et coteaux du lac Simard","","MS22"
"4a","Plaines et coteaux du lac Simard","","MS26"
"4a","Plaines et coteaux du lac Simard","","RS22"
"4a","Plaines et coteaux du lac Simard","","RS25"
"4b","Coteaux du réservoir Cabonga","","MJ22"
"4b","Coteaux du réservoir Cabonga","","MS22"
"4b","Coteaux du réservoir Cabonga","","RE21"
"4b","Coteaux du réservoir Cabonga","","RS12"
"4b","Coteaux du réservoir Cabonga","","RS21"
"4b","Coteaux du réservoir Cabonga","","RS22"
