type_ecologique,type_ecologique_description_fr,type_ecologique_description_en
FE22,"Erabliere a tilleul sur depot mineral de mince a epais, de texture moyenne, de drainage mesique","Sugar maple-basswood stand on a thin-to-thick mineral deposit, medium texture, mesic drainage"
FE32,"Erabliere a bouleau jaune sur depot mineral de mince a epais, de texture moyenne, de drainage mesique","Sugar maple-yellow birch stand on a thin-to-thick mineral deposit, medium texture, mesic drainage"
FE42,"Erabliere a bouleau jaune et hetre sur depot mineral de mince a epais, de texture moyenne, de drainage mesique","Sugar maple-yellow birch-beech stand on a thin-to-thick mineral deposit, medium texture, mesic drainage"
ME13,"Pessiere noire a peuplier faux-tremble sur depot mineral de mince a epais, de texture fine, de drainage mesique","Black spruce-trembling aspen stand on a thin-to-thick mineral deposit, fine texture, mesic drainage"
ME16,"Pessiere noire a peuplier faux-tremble sur depot mineral de mince a epais, de texture fine, de drainage subhydrique","Black spruce-trembling aspen stand on a thin-to-thick mineral deposit, fine texture, subhydric drainage"
MJ11,"Betulaie jaune a sapin et erable a sucre sur depot mineral de mince a epais, de texture grossiere, de drainage xerique ou mesique","Yellow birch-balsam fir-sugar maple stand on a thin-to-thick mineral deposit, coarse texture, xeric or mesic drainage"
MJ12,"Betulaie jaune a sapin et erable a sucre sur depot mineral de mince a epais, de texture moyenne, de drainage mesique","Yellow birch-balsam fir-sugar maple stand on a thin-to-thick mineral deposit, medium texture, mesic drainage"
MJ14,"Betulaie jaune a sapin et erable a sucre sur depot mineral de mince a epais, de texture grossiere, de drainage subhydrique","Yellow birch-balsam fir-sugar maple stand on a thin-to-thick mineral deposit, coarse texture, subhydric drainage"
MJ15,"Betulaie jaune a sapin et erable a sucre sur depot mineral de mince a epais, de texture moyenne, de drainage subhydrique","Yellow birch-balsam fir-sugar maple stand on a thin-to-thick mineral deposit, medium texture, subhydric drainage"
MJ16,"Betulaie jaune a sapin et erable a sucre sur depot mineral de mince a epais, de texture fine, de drainage subhydrique","Yellow birch-balsam fir-sugar maple stand on a thin-to-thick mineral deposit, fine texture, subhydric drainage"
MJ21,"Betulaie jaune a sapin sur depot mineral de mince a epais, de texture grossiere, de drainage xerique ou mesique","Yellow birch-balsam fir stand on a thin-to-thick mineral deposit, coarse texture, xeric or mesic drainage"
MJ22,"Betulaie jaune a sapin sur depot mineral de mince a epais, de texture moyenne, de drainage mesique","Yellow birch-balsam fir stand on a thin-to-thick mineral deposit, medium texture, mesic drainage"
MJ24,"Betulaie jaune a sapin sur depot mineral de mince a epais, de texture grossiere, de drainage subhydrique","Yellow birch-balsam fir stand on a thin-to-thick mineral deposit, coarse texture, subhydric drainage"
MJ25,"Betulaie jaune a sapin sur depot mineral de mince a epais, de texture moyenne, de drainage subhydrique","Yellow birch-balsam fir stand on a thin-to-thick mineral deposit, medium texture, subhydric drainage"
MJ26,"Betulaie jaune a sapin sur depot mineral de mince a epais, de texture fine, de drainage subhydrique","Yellow birch-balsam fir stand on a thin-to-thick mineral deposit, fine texture, subhydric drainage"
